"gene_id","pbs","auxin","pbs.1","pbs.2","pbs.3","auxin.1","auxin.2","auxin.3","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Bari1",6.30377507133354,3.44917478485527,8.13485338807041,8.68446125685085,2.09201056907936,4.91819612319697,5.42932823136885,0,4.87647492809441,-0.017030138356578,0.134001050191345,0.290940489276056,0.988835539494147
"Bari2",0,0.20492483846654,0,0,0,0.614774515399621,0,0,0.10246241923327,0.00112731216293431,0.133371987654749,0.816481714258326,0.988835539494147
"blood",1487.97862993717,1379.78192610675,1404.07569478095,1047.34602757621,2012.51416745434,1224.01606016065,1167.3055697443,1748.02414841529,1433.88027802196,-0.01880241904245,0.118971361595082,0.736658794492267,0.988835539494147
"BS",97.0719048336931,76.1233258115481,75.9252982886571,144.162056863724,71.1283593486982,59.0183534783636,110.3963407045,58.9552832517806,86.5976153226206,-0.050638762844559,0.135428861122099,0.30167313937735,0.988835539494147
"BS3",15.1859324133153,26.9566810087493,17.3543538945502,10.421353508221,17.7820898371746,39.3455689855757,19.9075368483525,21.6169371923196,21.0713067110323,0.0483927939213725,0.142110961478369,0.135553585931939,0.988835539494147
"BS4",1.39467371271957,0,0,0,4.18402113815872,0,0,0,0.697336856359786,-0.00233889430765565,0.13339526283183,0.632278719229476,0.988835539494147
"Burdock",35.0490960142575,31.9328947267983,24.4045601642112,39.9485217815139,40.7942060970475,24.5909806159848,28.9564172339672,42.2512863304428,33.4909953705279,-0.00895975824590134,0.128065362807634,0.797032093261015,0.988835539494147
"Circe",58.0079059822658,65.0471695345932,78.6369160846806,39.9485217815139,55.438280080603,112.503736318131,21.7173129254754,60.9204593601733,61.5275377584295,0.00316306776879312,0.126626364294437,0.938272951119634,0.988835539494147
"copia",2269.71494149737,2130.02836197825,1756.0436847048,2763.39557192994,2289.70556785736,1409.06318929593,2399.76307826503,2581.25881837379,2199.87165173781,-0.0258666545643099,0.120349858046133,0.642200703647135,0.988835539494147
"Cr1a",63.9199030435361,47.7253750624856,89.4833872687745,62.5281210493261,39.7482008125078,78.6911379711515,27.1466411568443,37.338346059461,55.8226390530109,-0.04609075149286,0.136984990072128,0.26925271096183,0.988835539494147
"diver",63.2017186742864,73.7937850317049,66.7057977821773,48.6329830383648,74.2663752023172,98.978696979339,50.6737301594426,71.7289279563331,68.4977518529957,0.0254975421544526,0.128321419042342,0.559823350243517,0.988835539494147
